date,followers,followers_growth,username,channel,link_profile
2018-12-01,31737,0,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-02,31756,19,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-03,31743,-13,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-04,31744,1,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-05,31770,26,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-06,31799,29,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-07,31839,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-08,31880,41,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-09,31899,19,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-10,31948,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-11,31998,50,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-12,32001,3,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-13,32035,34,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-14,32071,36,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-15,32115,44,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-16,32138,23,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-17,32178,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-18,32207,29,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-19,32256,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-20,32279,23,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-21,32300,21,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-22,32306,6,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-23,32355,49,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-24,32374,19,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-25,32404,30,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-26,32432,28,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-27,32472,40,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-28,32513,41,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-29,32521,8,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-30,32527,6,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2018-12-31,32534,7,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
